INDEX,NOMBRE_DATA_VIAJES,NOMBRE_RESULTS_5,RATIO,
90,EMPRESA 501 SA,EMPRESA 501 S.A.,97,
91,EMPRESA TRANSPORTE TRATADO DEL PILAR S.R.L.,EMPRESA DE TRANSPORTE TRATADO DEL PILAR S.R.L.,97,
92,EXPRESO QUILMES S.A.,EXPRESO QUILMES SA,97,
93,LA CENTRAL DE VICENTE LOPEZ S.A.,LA CENTRAL DE VICENTE LOPEZ S.A.C.,97,
94,LA PRIMERA DE LA ESCONDIDA SRL,LA PRIMERA DE LA ESCONDIDA S.R.L.,97,
95,LINEA SESENTA SA,LINEA SESENTA S.A.,97,
96,MICRO OMNIBUS GENERAL SAN MARTIN SAC,MICROMNIBUS GENERAL SAN MARTIN SAC,97,
97,SARGENTO CABRAL S.A.DE TRANSPORTE,SARGENTO CABRAL S.A. DE TRANSPORTES,97,
98,TRANSPORTE NUEVE DE JULIO SAC.,TRANSPORTE NUEVE DE JULIO S.A.,97,SA
99,TRANSPORTES SANTA FE S.A.C.I.,TRANSPORTES SANTA FE S.A.C.E.I.,97,SACEI
100,TRANSPORTES SESENTA Y OCHO S.R.L.,TRANSPORTES SESENTA Y OCHO SRL,97,
101,TRANSPORTE 1º DE SEPTIEMBRE S.A.,TRANSPORTES 1º DE SEPTIEMBRE SA,97,
102,TRANSPORTES NUEVE DE JULIO S.A.C.,TRANSPORTES NUEVE DE JULIO S.A.,97,
103,EMPRESA ANTARTIDA ARGENTINA S.A.T.,EMPRESA ANTARTIDA ARGENTINA S.A DE T,96,
104,EXPRESO EMPALME LOBOS S.R.L.,EXPRESO EMPALME LOBOS SRL,96,
105,PILAR BUS S.A,PILAR BUS S. A.,96,
106,ROCARAZA S.A.,ROCARAZA SA,96,
107,RUTA BUS S.A.,RUTA BUS SA,96,
108,TRANSPORTE DEL SUR S.R.L.,TRANSPORTE DEL SUR SRL,96,
109,PILAR BUS S.A.,PILAR BUS S. A.,96,
110,COMPAÑIA ISLEÑA S.R.L.,COMPAÑIA LA ISLEÑA S.R.L.,95,
111,EMPRESA DE TRANSPORTES AMERICA S.A.C.I.,EMPRESA DE TRANSPORTES AMERICA SAC.E I,95,
112,EMPRESA DE TRANSPORTES SANTA RITA  SRL,EMPRESA DE TRANSPORTE SANTA RITA S.R.L.,95,
113,ERSA URBANO,ERSA URBANO S.A.,95,
114,EXPRESO PARQUE EL LUCERO S.A. DE TRANSPORTES,EXPRESO PARQUE EL LUCERO S.A. DE TRANSPORTES LINEA 741,95,
115,LA FLOR DE LUJAN SRL,LA FLOR DE LUJAN S.R.L.,95,
116,LA PRIMERA DE GRAND BOURG S.A.,LA PRIMERA DE GRAND BOURG S.A.T.C.I.,95,
117,LINEA EXPRESO LINIERS S.A.I.Y C.,LINEA EXPRESO LINIERS S.A.,95,
118,MICRO OMNIBUS O´HIGGINS S.A.T.,MICRO OMNIBUS O´HIGGINS SAT,95,
119,SAN VICENTE S.A. DE TRANSPORTES,EMPRESA SAN VICENTE S. A. DE TRANSPORTES,95,
120,TRANSPORTE LARRAZABAL C.I.S.A.,TRANSPORTE LARRAZABAL CISA,95,
121,TRANSPORTE SAPEM,BAHÍA TRANSPORTE SAPEM,95,?
122,TRANSPORTES COLEGIALES S.A.C.I.,TRANSPORTES COLEGIALES SACI,95,
123,UNION PLATENSE SRL,UNION PLATENSE S.R.L.,95,
124,EXPRESO ARSENO SRL,EXPRESO ARSENO S.R.L,95,
125,TRANSPORTE AUTOMOTOR PLAZA S.A.C.I.,TRANSPORTE AUTOMOTOR PLAZA SACI,95,
126,EL RAPIDO ARGENTINO COMPAÑIA DE MICRO OMNIBUS S.A,EL RAPIDO ARGENTINO CIA DE MICROOMNIBUS S.A.,95,
127,CIUDAD DE SAN FERNANDO S.A.,EMPRESA CIUDAD DE SAN FERNANDO S.A.,95,
128,EMPRESA DE  TRANSPORTE PARQUE COSTERO DEL SUR SRL,EMP. TTES. PARQUE COSTERO DEL SUR S.R.L,95,
129,EMPRESA TANDILENSE S.A.C.I.F.I.,EMPRESA TANDILENSE S A C I F I Y DE S.,95,
130,ESTEBAN ECHEVERRIA S.R.L.,EXPRESO ESTEBAN ECHEVERRIA S.R.L.,95,
131,LA FLOR DE LUJAN,LA FLOR DE LUJAN S.R.L.,95,
132,LIBERTADOR SAN MARTIN S.A.T.,EMPRESA LIBERTADOR SAN MARTIN S.A.T.,95,
133,LINEA EXPRESO LINIERS S.A.I.C.,LINEA EXPRESO LINIERS S.A.,95,
134,MICROOMNIBUS CIUDAD DE BUENOS AIRES S.A.T.C.I.,MICROOMNIBUS CIUDAD DE BUENOS AIRES SATCI,95,
135,TRANSPORTE SANTA RITA S.R.L.,EMPRESA DE TRANSPORTE SANTA RITA S.R.L.,95,
136,TRANSPORTE SESENTA Y OCHO S.R.L.,TRANSPORTES SESENTA Y OCHO SRL,95,
