anio;EMPRESA;TOTAL
2019;"M.O.D.O. S.A. DE TRANSPORTE AUTOMOTOR";6822045
2019;"MAYO S.A.T.A.";4733961
2019;METROVIAS;155234556
2019;"METROVIAS S.A. (URQUIZA)";13334434
2019;"MICRO OMNIBUS AVENIDA S.A.";5207893
2019;"MICRO OMNIBUS ESTE S.A";3809652
2019;"MICRO OMNIBUS GENERAL SAN MARTIN SAC";14752745
2019;"MICRO OMNIBUS GRAL PACHECO SRL";6337553
2019;"MICRO OMNIBUS MITRE S.A.";9632528
2019;"MICRO OMNIBUS NORTE S.A.";14771258
2019;"MICRO OMNIBUS O´HIGGINS S.A.T.";3071180
2019;"MICRO OMNIBUS PRIMERA JUNTA S.A";16976944
2019;"MICRO OMNIBUS QUILMES S.A.C.I. Y F.";26239082
2019;"MICRO OMNIBUS SUR S.A.C.";8387826
2019;"MICRO OMNIBUS TIGRE S.A.";15912174
2019;"MICROEXPRES S.A.";1002499
2019;"MICROOMNIBUS BARRANCAS DE BELGRANO S.A.";3885522
2019;"MICROOMNIBUS CIUDAD DE BS.AS. S.A.T.C.I";11481561
2019;"MICROOMNIBUS CUARENTA Y CINCO S.A.C.I.F.";5575285
2019;"MICROOMNIBUS SAAVEDRA S.A.T.A.C.I.";7037064
2019;"MUNICIPALIDAD DE MERCEDES PROVINCIA DE BUENOS AIRE";41355
2019;"NACION SERVICIOS S.A.";775780
2019;"NUDO S.A.";14432252
2019;"NUEVO IDEAL S.A.";17818697
2019;"NUEVOS RUMBOS S.A.T.A.C.I.F.I.";9685563
2019;"PILAR BUS S.A";4306296
2019;"ROCARAZA S.A.";11126207
2019;"RUTA BUS S.A.";6462402
2019;"SAN VICENTE S.A. DE TRANSPORTES";21343417
2019;"SARGENTO CABRAL S.A.DE TRANSPORTE";14021853
2019;"SERGIO A. RIVAS S.R.L";572604
2019;"SOCIEDAD ANONIMA EXPRESO SUDOESTE";8421273
2019;"SOFSE - Belgrano Sur";8035815
2019;"SOFSE - Mitre";25639443
2019;"SOFSE - Roca";83427450
2019;"SOFSE - San Martin";13140309
2019;"SOFSE- SARMIENTO";43415012
2019;"SOFSE- TREN DE LA COSTA";369276
2019;"TRANPORTES VEINTIDOS DE SETIEMBRE S.A.C.";4962392
2019;"TRANSP. AUTOMOTORES 12 DE OCTUBRE S.A.C.";2981163
2019;"TRANSP. SGTO. CABRAL";3771330
2019;"TRANSPORTE 11 DE JUNIO S.R.L.";2094120
2019;"TRANSPORTE AUTOMOTORES LA PLATA SA";14436914
2019;"TRANSPORTE DEL SUR S.R.L.";3345789
2019;"TRANSPORTE ESCALADA S.A.T.";4763784
2019;"TRANSPORTE IDEAL SAN JUSTO S.A.";18072588
2019;"TRANSPORTE JOSE HERNANDEZ S.A.C.I.";3062685
2019;"TRANSPORTE LA UNION SA";5979239
2019;"TRANSPORTE LARRAZABAL C.I.S.A.";20983079
2019;"TRANSPORTE NUEVE DE JULIO SAC.";4112537
2019;"TRANSPORTE SAPEM";775780
2019;"TRANSPORTES 1º SEPTIEMBRE S.A.";3307110
2019;"TRANSPORTES 270 S.A.";4114422
2019;"TRANSPORTES ALMIRANTE BROWN S.A.";6594633
2019;"TRANSPORTES ATLANTIDA S.A.C.";8847658
2019;"TRANSPORTES AUTOMOTORES  LANUS ESTE S.A.";5005138
2019;"TRANSPORTES AUTOMOTORES CALLAO S.A.";13239882
2019;"TRANSPORTES AUTOMOTORES RIACHUELO S.A.";13550980
2019;"TRANSPORTES AVENIDA BERNARDO ADER S.A.";7706625
2019;"TRANSPORTES COLEGIALES S.A.C.I.";4589756
2019;"TRANSPORTES DEL TEJAR S.A.";4979213
2019;"TRANSPORTES LA PERLITA S.A.";46287307
2019;"TRANSPORTES LINEA 123 S.A.C.I.";1894293
2019;"TRANSPORTES LOPE DE VEGA S.A.C.I.";17119581
2019;"TRANSPORTES NUEVA CHICAGO C.I.S.A.";7244405
2019;"TRANSPORTES QUIRNO COSTA S.A.C.I.";4134080
2019;"TRANSPORTES RIO GRANDE S.A.C.I.F.";11620907
2019;"TRANSPORTES SAN CAYETANO S.A.C.";2080786
2019;"TRANSPORTES SAN JUAN BAUTISTA S.A.";8702523
2019;"TRANSPORTES SANTA FE S.A.C.I.";8582208
2019;"TRANSPORTES SESENTA Y OCHO S.R.L.";7682534
2019;"TRANSPORTES SOL DE MAYO C.I.S.A.";3749331
2019;"TRANSPORTES SUR-NOR C.I.S.A.";9775388
2019;"TRANSPORTES UNIDOS DE MERLO S.A.C.I.I.";13953764
2019;"TRANSPORTES VILLA BOSCH SAC el";4345498
2019;"TTES.AUTOMOTORES DE PASAJEROS SIGLO XXI SA";3893268
2019;"UNION PLATENSE SRL";16964997
2019;"UNION TRANSITORIA COSA CIA TRANSPORTE VECINAL U.T.";5476827
2019;"UNION TRANSPORTISTAS DE EMPRESAS SA";3755838
2019;"UTENOR LINEA 723 UNION TRANSITORIA DE EMPRESAS";2354352
2019;"UTENOR SA L 722";955964
2019;"VUELTA DE ROCHA S.A.T.C.I.";4630203
2019;"YITOS S.A.";12585235
2018;"17 DE AGOSTO S.A.";9793441
2018;"4 DE SEPTIEMBRE S.A.T.C.P.";14427177
2018;"ALMAFUERTE EMPRESA DE TRANSPORTE S.A.C.I. E I";47528366
2018;"ALMAFUERTE S.A.T.A.C.I.";11817864
2018;"AUTOBUSES BS AS SRL- TTE LARRAZABAL SRL- UT";9019259
2018;"AUTOBUSES BUENOS AIRES SRL";18157241
2018;"AZUL S.A. DE TRANSPORTE AUTOMOTOR";60171915
2018;"BERNARDINO RIVADAVIA S.A.T.A.";22160576
2018;"BUENOS AIRES BUS SOCIEDAD ANONIMA";4265394
2018;"BUS DEL OESTE S.A.";4918988
2018;"CARDENAS S.A. EMPRESA DE TRANSPORTES";14215609
2018;"CIA ANDRADE EMPRESA DE TRANSPORTE DE PASAJEROS SRL";13342518
2018;"CIA LA PAZ AMADOR MOURE SACIFIYA";10074912
2018;"COLECTIVEROS UNIDOS S.A.";18710984
2018;"COMPAÑÍA DE OMNIBUS 25 DE MAYO LINEA 278";48613199
2018;"COMPAÑIA DE TRANSPORTE VECINAL S.A.";2064118
2018;"COMPAÑIA ISLEÑA S.R.L.";50679549
2018;"COMPAÑIA MICROOMNIBUS LA COLORADA SACI";22389249
2018;"COMPAÑIA NOROESTE S.A.T.";35713798
2018;"COMPAÑIA  DE TRANSPORTE VECINAL S.A.";4154148
2018;"COOPERATIVA DE TRABAJO 3 DE JULIO LIMITADA";4188869
2018;"COOPERATIVA DE TRABAJO 6 DE JULIO LIMITADA";800100
2018;"D.O.T.A. S.A. DE TRANSPORTE AUTOMOTOR";52288026
2018;"D.U.V.I. SOCIEDAD ANONIMA";11171744
2018;"EL NUEVO HALCON S.A.";26538744
2018;"EL PUENTE S.A.T.";20591812
2018;"EL URBANO SRL";2254307
2018;"EMP.DE TRANSP. PEDRO DE MENDOZA C.I.S.A.";12780867
2018;"EMP.DE TRANSP.MICROOMN.SAENZ PEÑA S.R.L.";16788824
2018;"EMP.TRANSP.AUTOM.DE PASAJEROS S.A.C.I.F.";13984009
2018;"EMPRESA 501 SA";18637905
2018;"EMPRESA ANTARTIDA ARGENTINA S.A.T.";7877823
2018;"EMPRESA CINCO DE AGOSTO S.R.L.";3764309
2018;"EMPRESA CIUDAD DE SAN FERNANDO SA";30584500
2018;"EMPRESA DE TRANSP. MARIANO MORENO S.A.";2226250
2018;"EMPRESA DE TRANSP. TTE. GRAL. ROCA S.A";33276800
2018;"EMPRESA DE TRANSPORTE DEL SUR SRL";30344690
2018;"EMPRESA DE TRANSPORTES 104 S.R.L.";31
2018;"EMPRESA DE TRANSPORTES AMERICA S.A.C.I.";11268647
2018;"EMPRESA DE TRANSPORTES EL LITORAL S.A.";19558677
2018;"EMPRESA DE TRANSPORTES SANTA RITA  SRL";438734
2018;"EMPRESA DEL OESTE SAT";40495055
2018;"EMPRESA J.M. EZEIZA S.R.L.";19616568
2018;"EMPRESA LINEA 216 S.A.T.";108862366
2018;"EMPRESA LINEA SIETE SAT";12651355
2018;"EMPRESA MICROOMNIBUS LARROQUE LINEA 548 SRL";4262134
2018;"EMPRESA MONTE GRANDE S.A. LINEA 501";41671082
2018;"EMPRESA NUEVE DE JULIO S.A.T.";24061055
2018;"EMPRESA TANDILENSE S.A.C.I.F.I.Y DE S.";30868632
2018;"EMPRESA TRANSPORTE TRATADO DEL PILAR S.R.L.";5445117
2018;"EMRESA MONTERREY S.R.L.";1944126
2018;"ERSA URBANO";6716864
2018;"EXPRESO ARSENO SRL";2413146
2018;"EXPRESO EMPALME LOBOS S.R.L.";783351
2018;"EXPRESO ESTEBAN ECHEVERRIA S.R.L.";21870484
2018;"EXPRESO GENERAL SARMIENTO S.A.";41928945
2018;"EXPRESO LA PLATA BUENOS AIRES S.A.";11827753
2018;"EXPRESO LOMAS S.A.";13497236
2018;"EXPRESO NUEVE DE JULIO S.A.";16224821
2018;"EXPRESO PARQUE EL LUCERO S.A. DE TRANSPORTES";25213192
2018;"EXPRESO QUILMES S.A.";22588681
2018;"EXPRESO SAN ISIDRO S.A.T.C.I.F.I.";14879569
2018;"EXPRESO VILLA GALICIA SAN JOSE S.A.";15381530
2018;"EXPRESO VILLA GALICIA  SAN JOSE S.A.";30110234
2018;"EXPRESO VILLA NUEVA S.A.";21157829
2018;"FERROVIAS S.A.";24315036
2018;"FUERTE BARRAGAN S.A.T.I.C.I.";12244628
2018;"GENERAL PUEYRREDON S.A.T.C.I.";12838734
2018;"GENERAL TOMAS GUIDO S.A.C.I.F.";57865229
2018;"GRUPO LINEA 179 S.A.";5177102
2018;"JUAN B. JUSTO S.A.T.C.I.";15533826
2018;"LA CABAÑA S.A.";75774850
2018;"LA CENTRAL DE ESCOBAR SA";21432759
2018;"LA CENTRAL DE VICENTE LOPEZ S.A.";45651786
2018;"LA FLOR DE LUJAN SRL";433907
2018;"LA NUEVA METROPOL S.A.";54433898
2018;"LA PRIMERA DE GRAND BOURG S.A.";53032846
2018;"LA PRIMERA DE LA ESCONDIDA SRL";1529560
2018;"LA PRIMERA DE MALVINAS ARGENTINAS UTE";4132407
2018;"LA PRIMERA DE MARTINEZ S.A";15610100
2018;"LA VECINAL DE MATANZA SACI. DE MICROOMNIBUS";28089726
2018;"LIBERTADOR SAN MARTIN SAT";17900867
2018;"LINEA 10 S.A.";9468536
2018;"LINEA 17 S.A.";14506744
2018;"LINEA 213 S.A. DE TRANSPORTE";17647808
2018;"LINEA 22 S.A.";7944004
2018;"LINEA 71 S.A.";16778453
2018;"LINEA DE MICROOMNIBUS 47 S.A.T.C.F.I.";10002859
2018;"LINEA EXPRESO LINIERS S.A.I.Y C.";8672954
2018;"LINEA SESENTA SA";11410736
2018;"LOS CONSTITUYENTES S.A.T.";35929551
2018;"M.O.D.O. S.A. DE TRANSPORTE AUTOMOTOR";15447948
2018;"MAYO S.A.T.A.";9005641
2018;METROVIAS;340008788
2018;"METROVIAS S.A. (URQUIZA)";27885982
2018;"MICRO OMNIBUS AVENIDA S.A.";11544968
